〇	líng,xīng,yuán
㗄	mán,màn,kū
㗅	hú
㗆	gé,kài
㗇	xiá,ya
㗈	màn
㗉	bì,è,lüè
㗊	jí,qì,bī,léi
㗋	hóu
㗌	zhì
㗑	bài,bai
㗒	ài
㗕	gòu
㗖	dàn
㗗	bǎi,bēi
㗘	bó,fù
㗙	nà,chú,zhōu,chū
㗚	lì
㗛	xiào
㗜	xiù
㗢	dòng,hóng
㗣	tì
㗤	cù
㗥	kuò
㗦	láo
㗧	zhì
㗨	ǎi,xiē
㗩	xī
㗫	qiè
㗬	zhā
㗰	chù,cóng
㗱	jí
㗲	huò,xì
㗳	tǎ
㗴	yán
㗵	xù
㗷	sǎi
㗻	guō
㗼	yè
㗽	xiǎng
㗾	xué,xuē
㗿	hé,xià,xiā
㘀	zuò
㘁	yì
㘂	cí
㘃	ruò
㘄	lēng
㘅	xián
㘆	tái,tǎi
㘇	róng
㘈	yī,yì
㘉	zhì
㘊	yì,xī
㘋	xián
㘌	jù
㘍	jí,qì
㘎	hǎn,hàn
㘐	pào,pěng
㘑	lì
㘓	lán
㘔	cǎn,sǎi
㘕	hǎn,lán
㘖	yán
㘙	yán,yǎn
㘚	hǎn
㘜	chǐ,chóu,chù
㘝	niǎn,niè,nà,lǎn
㘞	huò
㘠	bì,mì
㘡	xiá
㘢	wěng
㘣	xuán,yuán
㘥	yóu
㘦	qín
㘧	xù
㘨	nèi,niè
㘩	bì
㘪	hào
㘫	jǐng
㘬	ào
㘭	ào
㘲	jú
㘴	zuò
㘵	bù
㘶	jié
㘷	ài
㘸	zàng
㘹	cí
㘺	fá
㘿	niè
㙀	liù
㙁	mǎng,méi,mèi,mù,nà
㙂	duì
㙄	bì
㙅	bǎo
㙇	chù
㙈	hán,xià
㙉	tiǎn
㙊	cháng,zhàng
㙍	duō
㙏	fù
㙐	duǒ
㙑	yǔ
㙒	yě
㙓	kuí
㙔	hán,wěi
㙕	kuài
㙗	kuài,wēi
㙙	lǒng
㙚	xīng
㙛	bǔ
㙜	chí,tái
㙝	xié
㙞	niè
㙟	lǎng
㙠	yì,yī
㙢	mán,mén
㙣	zhàng
㙤	xià
㙥	gǔn,gùn
㙦	xié
㙨	jì,qí
㙩	liáo
㙪	yè,yì
㙫	jí
㙬	yín
㙮	dā,da
㙯	yì
㙰	xiè
㙱	hào
㙲	yǒng
㙳	hǎn,hé,kǎn
㙴	chàn,zhàn
㙵	tái
㙶	táng
㙷	zhí
㙸	bào,bó,pú
㙹	méng
㙺	guì,kuí
㙻	chán,qiè,zàn
㙼	lěi
㙾	xì,xué
㚁	qiáo,qiào,qù
㚂	ráng,nàng
㚃	yún,yùn,yūn
㚅	lóng
㚆	fù
㚇	zōng
㚉	gǔ
㚊	kāi
㚌	huà,huǒ
㚍	guó,kuǐ,kuì
㚏	gǎo
㚐	tào
㚒	shǎn
㚓	lái,lǎi
㚔	niè
㚕	fú,bì
㚖	gǎo
㚗	qié,xié
㚘	bàn
㚛	xì
㚜	xù,yù
㚝	kuí,zhuī
㚞	měng,shěn,yìng,yùn
㚟	chuò
㚡	jǐ
㚢	nú
㚣	jiāo,xiáo
㚤	yì
㚥	yú
㚦	yí
㚧	yǎn
㚩	rǎn
㚪	hào
㚫	shà,zhà,sà
㚭	yóu
㚯	xín,xún
㚰	bǐ,pēi
㚲	diǎn,shàn,chān
㚴	bù
㚶	sì
㚷	ěr,nǎi
㚸	sī
㚹	mǎo
㚺	yùn
㚻	jī
㚽	qiǎo
㚿	páo
㛂	nuǒ
㛃	jié
㛄	yī
㛅	èr
㛆	duǒ,duò
㛊	duǒ
㛍	qiè
㛏	òu,qiú
㛐	sǎo,sǒu
㛑	càn
㛒	dòu
㛔	péng,fēng
㛕	yì
㛖	suō
㛗	zuò,qiē
㛘	pò
㛙	qiè,qín,shěn,shèn,xīn
㛚	tǒng
㛛	xìn,zhèn
㛜	yóu
㛝	bèi,bèng
㛞	lòng
㛣	yún
㛥	tà
㛦	lǎn
㛧	mǎn
㛨	qiǎng
㛩	zhóu
㛪	yàn,yuán
㛬	lù
㛮	sǎo
㛯	miǎn,fàn
㛱	ruì,wěi
㛲	fà
㛳	chà,yì
㛴	nǎo
㛶	chóu,tán,tàn
㛸	shù
㛹	pián
㛻	kuǐ,kuā
㛼	shà,chā
㛾	xián
㛿	zhì
㜃	liàn,liáo,máng
㜄	xún
㜅	xù
㜆	mì
㜇	huì,yè
㜈	mù
㜊	pàng,zhǎn
㜋	yì
㜌	gòu,nǒu
㜍	táng
㜎	xī,xì
㜏	yún
㜐	shù
㜑	fú,pó
㜒	yì
㜓	dá
㜕	lián
㜖	cáo
㜗	cǎn,chú,xuàn,cān
㜘	jù
㜙	lù
㜚	sù
㜛	nèn,ruǎn
㜜	ào
㜝	ǎn,àn
㜞	qiàn
㜣	rán,niàn
㜤	shěn,niǎn
㜥	mái,mó
㜦	hàn,niè,sì,xié,xín
㜧	yuè
㜨	ér,nái
㜩	ào
㜪	xiǎn,shēn
㜫	mà,méi,měi
㜭	dāng
㜮	làn
㜰	yuè
㜱	dòng,zhì
㜲	wěng,yíng
㜳	huái
㜴	mèng
㜵	niǎo
㜶	fàn,wǎn
㜷	mí,nǎi,xiǎn
㜸	niè
㜹	qú
㜺	zàn
㜻	liàn
㜼	zhí,zhì
㜽	zǐ
㜾	hái
㜿	xù
㝀	hào
㝁	xún,xuān
㝂	zhì
㝃	fàn,miǎn,wǎn
㝄	chún,qì,rùn
㝅	gòu
㝇	chún
㝈	luán
㝉	zhù
㝊	shǒu
㝋	liáo,liǎo,liú
㝌	jié,jiù,zhòu
㝍	xiě
㝎	dìng
㝏	jiè
㝐	róng
㝑	máng,páng
㝓	gé,kè
㝔	yào,yǎo
㝕	níng
㝖	yí,yín
㝗	láng
㝘	yóng
㝙	yín
㝛	sù
㝝	lín
㝞	yā
㝟	máo,mào,kuān
㝠	míng
㝡	zuì
㝢	yǔ
㝣	yè,yì
㝤	gòu
㝥	mǐ
㝦	jùn,yá
㝧	wěn
㝩	kāng
㝪	diàn,dǐng
㝫	lóng
㝬	hú
㝭	xǐng
㝮	cuì
㝯	qiáo
㝰	mián
㝱	mèng
㝲	qǐn
㝴	wán
㝵	dé
㝶	ài,dé
㝸	biàn
㝹	nóu
㝺	lián,lín
㝻	jǐn
㝼	yū
㝽	chuí,shuǐ,zhuǐ
㝾	zuǒ
㝿	bó,bǒ,fù,qiàn
㞁	yào
㞂	tuǐ
㞃	jí,jì
㞅	guǒ,luò
㞆	jǐ
㞇	wěi
㞊	xù
㞋	niǎn
㞌	yùn
㞎	bǎ,fú,pá
㞏	zhé
㞐	jū
㞑	wěi
㞒	xì,xiè
㞓	qǐ,qì
㞔	yí
㞕	xiè
㞖	cì,cí
㞗	qiú
㞘	tún,dū
㞙	niào
㞚	qì,zhǎ
㞛	jǐ
㞞	sóng
㞟	diàn
㞠	láo,liáo
㞡	zhǎn
㞤	yín
㞥	cén
㞦	jǐ
㞧	huì
㞨	zǎi,zǐ
㞩	lán
㞪	náo
㞫	jù,zǒu
㞬	qìn
㞭	dài
㞯	jié
㞰	xǔ
㞲	yòng
㞳	dǒu
㞴	chí
㞶	mǐn
㞷	huáng
㞸	suì
㞹	kě
㞺	zú
㞻	hào
㞼	chéng,shèng,zhé
㞽	xuè
㞾	ní,yì
㞿	chì,qí
㟀	lián
㟁	àn
㟂	chǐ,mǔ
㟃	sī
㟄	xiáng
㟅	yáng
㟆	huá
㟇	cuó,cuǒ,cuò
㟈	qiú
㟉	láo
㟊	fú
㟋	duì
㟌	máng
㟍	láng
㟎	tuǒ
㟏	hán
㟐	mǎng
㟑	bó
㟓	qí
㟔	hán
㟖	lòng
㟘	tiáo
㟙	lǎo,zé,zhái
㟚	qí
㟛	zàn
㟜	mí
㟝	péi,pǒu
㟞	zhàn
㟟	xiàng
㟠	gǎng
㟢	qí
㟤	lù
㟦	yùn
㟧	è,niè,xùn
㟨	quán,duān
㟩	mín,mǐn,wěn
㟪	wěi,wēi
㟫	quán
㟬	shǔ,sǒu
㟭	mín
㟮	tū
㟯	è
㟰	mǐng
㟱	yǎo
㟲	jué,yuán
㟳	lì
㟴	kuài,kuǐ,wěi
㟵	gǎng
㟶	yuán
㟷	da
㟹	láo
㟺	lóu
㟻	qiàn
㟼	áo
㟽	biǎo
㟿	máng,mǎng
㠀	dǎo
㠂	áo
㠄	xí
㠅	fú,fù
㠇	jiù
㠈	rùn
㠉	tóng
㠋	è
㠍	jí,jié,qì
㠎	qì,jí
㠏	huá
㠐	jiào
㠑	zuì
㠒	biǎo
㠓	méng
㠔	bài
㠕	wěi
㠖	jì,yǐ
㠗	ào,wò
㠘	yǔ
㠙	háo
㠚	duì,zhuó
㠛	wò
㠜	nì
㠝	cuán
㠟	lí
㠠	lú
㠡	niǎo
㠢	huái
㠣	lài,lì
㠥	lǜ
㠧	mí,mǐ
㠨	yù
㠪	jù
㠫	gū
㠬	gū
㠭	zhǎn,zhàn
㠯	yǐ
㠱	jì,qǐ
㠲	bǐ
㠴	rèn
㠵	huāng
㠶	fán
㠷	gé
㠸	kù
㠹	jiè
㠺	miáo,shā
㠽	tóng
㠿	cǐ,zī
㡀	bì
㡁	kǎi,kuà,kuǎ
㡂	lì
㡄	sǔn,xún
㡅	nuǒ
㡆	huāng
㡇	jí,zhé
㡈	mén,wèn
㡉	xián,yán
㡊	qià,qiǎn
㡋	è,yé
㡌	mào,mèi
㡏	tóu,shū,shù
㡑	qiǎo,qiāo
㡒	zhūn
㡔	wù,mù
㡖	chuáng
㡗	tí
㡘	lián
㡙	bī,pí
㡛	máng
㡜	xuě,xiè
㡝	fèng,fú
㡞	lěi,lóu
㡠	zhèng
㡡	chú
㡢	màn
㡣	lóng
㡥	yǐn,yìn
㡧	zhèng
㡨	qiān,jiān
㡩	luán
㡪	nié
㡫	yì
㡭	jì
㡮	jí
㡯	zhái,dù
㡰	yǔ
㡱	jiǔ
㡲	huán
㡳	dǐ,zhé,zhǐ
㡵	líng
㡶	zhǐ
㡷	běn
㡸	zhǎ,zhà
㡹	cì,jū
㡺	dàn
㡻	liào
㡼	yì
㡽	zhào
㡾	xiàn
㡿	chì
㢀	cì,zì
㢁	chǐ
㢂	yǎn
㢃	láng
㢄	dòu
㢅	lòng
㢆	chán
㢈	tuí
㢉	chá
㢊	ǎi
㢋	chǐ
㢍	yíng,yǐng
㢎	chà,zé,zhái,zhé
㢏	tóu
㢑	tuí
㢒	chá
㢓	yǎo,zhàng
㢔	zǒng
㢗	qiào
㢘	lián
㢙	qín
㢚	lǔ
㢛	yàn
㢞	yì
㢟	chǎn,chān
㢠	jiǒng,jùn
㢡	jiǎng
㢣	jìng,qíng
㢥	dòng
㢦	gē
㢧	juàn
㢨	hàn
㢩	dì
㢬	hóng
㢮	chí
㢯	mín,diāo
㢰	bì,huán
㢲	xùn
㢳	lú
㢵	shè,xié
㢶	bì
㢸	bì
㢺	xián
㢻	wěi,ruì
㢼	biè
㢽	ěr
㢾	juàn
㣀	zhèn
㣁	bèi
㣂	yì,è
㣃	yǔ,yù
㣄	qú
㣅	zàn
㣆	mí,pèi
㣇	nǐ,yì
㣈	sì
㣌	shàn
㣍	tái
㣎	mù
㣏	jìng
㣐	biàn
㣑	róng
㣒	cèng
㣓	càn
㣙	dí
㣚	tóng,tǒng
㣛	tà
㣜	xíng
㣝	sōng
㣞	duó,duò
㣟	xì
㣠	tóng,tāo
㣢	tí
㣣	shǎn,shàn
㣤	jiàn
㣥	zhì
㣧	yìn,yǒng
㣪	huǎn,kuò
㣫	zhǒng
㣬	qì
㣯	xiè
㣰	xiè
㣱	zé,zuò
㣲	wéi
㣵	tà
㣶	zhān
㣷	nìng
㣻	yì
㣼	rěn
㣽	shù
㣾	chà
㣿	zhuó
㤁	miǎn,tiǎn
㤂	jí
㤃	fáng
㤄	pèi
㤅	ài
㤆	fàn
㤇	ǎo,fó,wù
㤈	qìn
㤉	qiā,yá
㤊	xiào,yáo
㤍	qiǎo,qiāo
㤏	tóng
㤑	yōu,yòu
㤓	bèn
㤔	fú,fù
㤕	chù
㤖	zhù
㤘	chù,cù,zhòu
㤚	háng
㤛	nín,rèn
㤜	jué,yù
㤞	chà
㤟	kǒng,tòu
㤠	liè
㤡	lì
㤢	xù,yù
㤤	yú,yǔ
㤥	hài
㤦	lì
㤧	hóu,hòu
㤨	gǒng,qióng
㤩	kè
㤪	yuàn
㤫	dé
㤬	huì,kuì
㤮	kuáng,guàng
㤯	jiǒng,jùn
㤰	zǎn,zuò
㤱	fù
㤲	qiè,qù
㤳	běi
㤴	xí,chè
㤵	cí
㤶	páng,máng
㤸	xì
㤹	qiú
㤺	huǎng
㤻	lǔn
㤽	chóu
㤾	sàn
㥀	dé,zhí
㥁	dé,zhí,zhòu
㥂	tè
㥃	mèn
㥄	líng
㥅	shòu
㥆	diàn,tuì
㥇	cán,càn
㥈	dié
㥉	chè,chì
㥊	péng
㥋	yī
㥌	jú
㥍	jì
㥎	lái,lí
㥏	tiǎn
㥐	yuàn
㥒	cǎi
㥓	qǐ,qī
㥔	yú,yù
㥕	lián
㥚	yú
㥛	jí,kè,sù
㥜	wèi
㥝	mǐ,miǎn
㥞	cuì,qiàn,suì
㥟	xié
㥠	xǔ,xū
㥡	xì,chì
㥢	qiú
㥣	huì
㥥	yú
㥦	qiè,xiá,xiǎn
㥧	shùn
㥨	chuí,shuì,wěi
㥩	duǒ
㥪	lóu
㥫	dūn
㥬	páng
㥭	tài
㥮	zhòu
㥯	yǐn
㥱	fěi
㥲	shèn,yín,chēn
㥳	yuán
㥴	yí,yǐ
㥵	hùn
㥶	sè
㥷	yè,yì
㥸	mǐn
㥹	fěn
㥺	hé,hè
㥼	yǐn,yìn
㥽	cè,zé
㥾	nì
㥿	ào
㦀	féng
㦁	lián
㦂	cháng,tàng
㦃	chǎn
㦄	má,mì
㦅	diē,dì
㦇	lù
㦉	yì
㦊	huá
㦌	tuì,xù,hū
㦍	è
㦎	huà,huò
㦏	sǔn,xuàn
㦐	nì
㦑	liǎn,xiàn
㦒	lí
㦓	xiàn
㦔	yàn
㦕	lóng
㦖	mèn
㦗	jiàn,jìn,jīn
㦚	biǎn
㦛	yú,yǔ
㦜	huò,xuè
㦝	miǎo
㦞	chóu
㦟	hài,mái
㦡	lè
㦢	jié,qì
㦣	wèi
㦤	yì
㦥	huán,xiǎn,xuān
㦦	hè,xì
㦧	cǎn
㦨	lán,làn
㦩	yǐn
㦪	xiè
㦬	luǒ
㦭	líng
㦮	qián
㦯	huò
㦰	jiān
㦱	wǒ
㦲	zāi
㦴	gé,qià
㦶	dié
㦷	yǒng
㦸	jǐ
㦹	àng,yáng,yǐng
㦺	rǔ,rù
㦻	xí,zhé
㦼	shuàng
㦽	xù,yù
㦾	yí
㦿	hù,qiǎn
㧀	jí
㧁	qù
㧂	tián
㧄	qiǎn,qiú
㧅	mù,dāo
㧇	mǎo
㧈	yǐn,yìn
㧉	gài,kuì
㧊	bá,pō
㧋	xiǎn,xuǎn
㧌	mào
㧍	fǎng
㧎	yá,yà,qiā
㧏	gāng
㧐	sǒng
㧑	wéi,wěi,huī
㧒	xué,yù,yuè
㧔	guài
㧕	jiù,liǔ,yú
㧖	è
㧗	zǐ,jǐ,zhǐ
㧘	cuì,nǎo,zì
㧙	bì
㧚	wǎ
㧜	liè
㧟	kuǎi
㧡	hài
㧢	yīn
㧣	zhù,zhū
㧤	chòng
㧥	xiǎn
㧦	xuàn
㧨	qiú
㧩	pèi
㧪	guǐ
㧫	ér
㧬	gǒng
㧭	qióng
㧯	lǎo
㧰	lì
㧱	chèn,ná,nì,tiàn
㧲	sǎn
㧳	bǎi,bó,zhuò
㧴	wǒ
㧵	póu,pǒu
㧷	duò,tùn
㧹	tè
㧺	tà
㧻	zhǐ,zhuó,zú
㧼	biào
㧽	gù,hú
㨀	bǐng
㨁	zhí,zhì
㨂	dǒng
㨃	chéng,duǐ
㨄	zhào,zhōu
㨅	nèi,ruì
㨆	lǐn
㨇	pó
㨈	jǐ
㨉	mǐn,mín
㨊	wěi
㨋	chě,lè,zhèn
㨌	gòu,rú,rǔ
㨎	rú,ruán
㨐	bǔ,péi
㨒	kuí,wěi,xié,kuī
㨓	láo,liáo
㨔	hàn
㨕	yíng
㨖	zhì
㨗	jié
㨘	xǐng
㨙	xié
㨚	xún
㨛	shǎn
㨜	qián
㨝	xiè,xiē
㨞	sù
㨟	hái,hāi
㨠	mì
㨡	hún
㨤	huì,kuǎi,wài
㨥	nà
㨦	sǒng
㨧	bèn
㨨	liù,chōu
㨩	jié
㨪	huàng
㨫	lǎn
㨭	hù
㨮	dōu
㨯	huò,kuò
㨰	gé,gǔn,hùn,huò,jié
㨱	yáo
㨲	cè
㨳	guǐ
㨴	jiàn
㨵	jiǎn
㨶	chóu,dǎo,zhǒu,zhòu
㨷	jìn
㨸	mà
㨹	huì
㨺	mén,mì,miǎn
㨻	cán,shǎn,zàn
㨼	lüè
㨽	pǐ,pì,qiǎo
㨾	yàng
㨿	jù
㩀	jù
㩁	què
㩃	qiān
㩄	shāi
㩅	chōu
㩆	jiù
㩇	huà,huò
㩈	xiàn,yǔn
㩉	xié,dá
㩋	sù,xiāo
㩌	fèi
㩍	cè
㩎	yè
㩐	dèn
㩒	qín
㩓	huǐ
㩔	tún
㩖	qiáng,tiáo
㩗	xí,xié
㩘	yǐ,nǐ
㩚	méng
㩛	tuán
㩜	lǎn
㩝	háo
㩞	cì
㩟	zhài
㩠	piǎo,āo
㩡	luǒ
㩢	mí,miè
㩦	xié
㩧	bó
㩨	huì
㩩	qǐ,qǐng
㩪	xié,xìn,yé
㩭	bó,jiǎo,xiào
㩮	qián,xián
㩯	bǎn,pán,pó
㩰	jiǎo,qiáo,xiǔ
㩱	jué
㩲	kǔn,quán
㩳	sǒng
㩴	jú
㩵	è
㩶	niè,nǐng
㩸	dié
㩹	dié,zhá
㩻	guǐ,qī
㩼	zhī
㩽	qí
㩾	chuí,zhuì
㪀	yú
㪁	qín
㪃	hé
㪄	fú
㪆	dǐ
㪇	xiàn
㪈	guì
㪉	hé
㪊	qún
㪋	hàn
㪌	tǒng,yú,yǔ
㪍	bó
㪎	shǎn
㪏	bǐ
㪐	lù
㪑	yè
㪒	ní
㪓	chuái
㪔	sàn,tán
㪕	diào
㪖	lù
㪗	tǒu
㪘	liǎn
㪙	kě,kè,kuò
㪚	sàn
㪛	zhěn
㪜	chuǎi
㪝	liàn
㪞	mào
㪠	qiàn,qiān
㪡	kě,kài
㪢	shǎo
㪣	qiào,xiāo
㪤	bì
㪥	zhā
㪦	yìn
㪨	shàn
㪩	sù
㪪	sà,xǐ
㪫	ruì
㪬	zhuó,chuō
㪭	lú
㪮	líng
㪯	chá,jǔ,qú
㪱	huàn
㪴	jiá
㪵	bàn
㪶	hú
㪷	dǒu
㪹	lǒu
㪺	jū
㪻	juàn
㪼	kě
㪽	suǒ,suò
㪾	gé,luò
㪿	zhé,shé
㫀	dǐng
㫁	duàn
㫂	zhù
㫃	yǎn
㫄	páng
㫅	chá,qí,shí
㫊	yǐ
㫍	yóu
㫎	gǔn,kuài,huī
㫏	yǎo
㫐	yǎo
㫑	shí,zhǐ
㫒	gǒng
㫓	qǐ,qì
㫔	gèn
㫖	zhǐ
㫗	hòu
㫘	mì,miǎn
㫙	fú
㫚	hū
㫛	guàng,kuáng,kuàng,mǔ
㫜	dàn,tǎn
㫟	yán
㫢	qù
㫤	chǎng,zhào
㫥	mǐng
㫧	bào
㫫	xiǎn
㫭	shí
㫯	mào
㫰	lǎng,làng
㫱	nǎn
㫲	pèi,bèi
㫳	chén
㫶	cǒu,zhǒu
㫸	qiè,jiē
㫹	dài,shù,yú
㫻	kùn
㫼	dié,zhé,zhì
㫽	lù
㬂	yú
㬃	tái
㬄	chàn
㬅	màn
㬆	mián,miàn,mǐn
㬇	huàn
㬉	nuǎn,ruò
㬊	huǎn,huàn
㬋	hóu
㬌	jìng
㬍	bó
㬎	xiǎn
㬏	lì
㬐	jǐn,jìn,xíng,yǐng
㬒	mǎng,mào
㬓	piào
㬔	háo
㬕	yáng
㬗	xiàn
㬘	sù
㬙	wěi
㬚	chè
㬜	jìn
㬝	céng
㬞	hè
㬠	shài
㬡	líng
㬣	duì
㬥	pù
㬦	yuè
㬧	bó
㬩	huì
㬪	dié,zhì
㬫	yàn
㬬	jù
㬭	jiào,shǎn,yǎo
㬮	kuài,nàn
㬯	liè
㬰	yú
㬱	tì
㬳	wǔ
㬴	hǒng
㬵	xiáo,jiāo
㬶	hào
㬻	huǎng,huāng
㬼	fù
㬿	dùn,tūn
㭁	réng
㭂	jiǎo
㭄	xìn
㭇	yuàn
㭈	jué,kuài
㭉	huá
㭋	bàng
㭌	móu,yú
㭎	gāng
㭏	wěi
㭑	mèi
㭒	sì
㭓	biàn
㭔	lú
㭕	qū
㭘	hé,gé
㭙	shé,zhé
㭛	pài
㭜	róng
㭝	qiú
㭞	liè
㭟	gǒng
㭠	xiǎn
㭡	xì,xìn
㭤	niǎo
㭨	yé,xié
㭩	lèi,líng,liè
㭫	cuán,cuó,zhèn
㭬	zhuó
㭭	fèi,bā
